psi,theta,phi,x,y,z
-2.953097094,-0.03296927,0,0.032379426,0.006176706,0.999456563
-2.953097094,-0.016091936,0,0.015806221,0.003015198,0.999870528
-2.953097094,0.000785398,0,-0.000771487,-0.000147169,0.999999692
-2.953097094,0.017662732,0,-0.017348974,-0.003309494,0.999844018
-2.953097094,0.034540066,0,-0.033921521,-0.006470876,0.999403551
-2.953097094,0.0514174,0,-0.050484405,-0.009630415,0.998678417
-2.953097094,0.068294734,0,-0.067032909,-0.012787211,0.997668821
-2.953097094,0.085172067,0,-0.08356232,-0.015940365,0.996375052
-2.953097094,0.102049401,0,-0.100067929,-0.019088978,0.994797477
-2.953097094,0.118926735,0,-0.116545035,-0.022232154,0.992936547
-2.953097094,0.135804069,0,-0.132988944,-0.025368998,0.990792791
-2.953097094,0.152681403,0,-0.149394973,-0.028498615,0.98836682
-2.953097094,0.169558737,0,-0.165758449,-0.031620115,0.985659325
-2.953097094,0.186436071,0,-0.182074711,-0.034732609,0.982671077
-2.953097094,0.203313405,0,-0.198339111,-0.037835209,0.979402927
-2.953097094,0.220190738,0,-0.214547017,-0.040927032,0.975855807
-2.953097094,0.237068072,0,-0.230693811,-0.044007198,0.972030726
-2.953097094,0.253945406,0,-0.246774895,-0.047074829,0.967928774
-2.953097094,0.27082274,0,-0.262785689,-0.050129051,0.96355112
-2.953097094,0.287700074,0,-0.278721631,-0.053168995,0.95889901
-2.953097094,0.304577408,0,-0.294578183,-0.056193794,0.953973769
-2.953097094,0.321454742,0,-0.310350827,-0.059202587,0.948776801
-2.953097094,0.338332075,0,-0.326035073,-0.062194516,0.943309585
-2.953097094,0.355209409,0,-0.341626451,-0.065168731,0.93757368
-2.953097094,0.372086743,0,-0.357120521,-0.068124383,0.931570718
-2.953097094,0.388964077,0,-0.37251287,-0.07106063,0.925302409
-2.953097094,0.405841411,0,-0.387799113,-0.073976637,0.91877054
-2.953097094,0.422718745,0,-0.402974896,-0.076871573,0.91197697
-2.953097094,0.439596079,0,-0.418035897,-0.079744612,0.904923635
-2.953097094,0.456473413,0,-0.432977825,-0.082594937,0.897612544
-2.953097094,0.473350746,0,-0.447796425,-0.085421737,0.890045779
-2.953097094,0.49022808,0,-0.462487476,-0.088224204,0.882225495
-2.953097094,0.507105414,0,-0.477046793,-0.091001543,0.87415392
-2.953097094,0.523982748,0,-0.491470229,-0.09375296,0.865833354
-2.953097094,0.540860082,0,-0.505753676,-0.096477673,0.857266165
-2.953097094,0.557737416,0,-0.519893065,-0.099174906,0.848454795
-2.953097094,0.57461475,0,-0.533884369,-0.10184389,0.839401753
-2.953097094,0.591492084,0,-0.547723603,-0.104483865,0.830109617
-2.953097094,0.608369417,0,-0.561406824,-0.107094079,0.820581036
-2.953097094,0.625246751,0,-0.574930136,-0.109673789,0.810818721
-2.953097094,0.642124085,0,-0.588289686,-0.112222259,0.800825455
-2.953097094,0.659001419,0,-0.601481669,-0.114738765,0.790604084
-2.953097094,0.675878753,0,-0.614502327,-0.117222588,0.780157519
-2.953097094,0.692756087,0,-0.627347952,-0.119673022,0.769488736
-2.953097094,0.709633421,0,-0.640014884,-0.122089369,0.758600774
-2.953097094,0.726510754,0,-0.652499516,-0.12447094,0.747496733
-2.953097094,0.743388088,0,-0.664798292,-0.126817057,0.736179778
-2.953097094,0.760265422,0,-0.676907708,-0.129127051,0.72465313
-2.953097094,0.777142756,0,-0.688824316,-0.131400266,0.712920074
-2.953097094,0.79402009,0,-0.70054472,-0.133636052,0.700983952
-2.953097094,0.810897424,0,-0.712065583,-0.135833775,0.688848163
-2.953097094,0.827774758,0,-0.723383623,-0.137992806,0.676516164
-2.953097094,0.844652092,0,-0.734495615,-0.140112532,0.663991468
-2.953097094,0.861529425,0,-0.745398396,-0.142192349,0.651277642
-2.953097094,0.878406759,0,-0.75608886,-0.144231664,0.638378308
-2.953097094,0.895284093,0,-0.76656396,-0.146229896,0.625297139
-2.953097094,0.912161427,0,-0.776820715,-0.148186477,0.612037863
-2.953097094,0.929038761,0,-0.786856202,-0.150100848,0.598604254
-2.953097094,0.945916095,0,-0.796667562,-0.151972465,0.585000141
-2.953097094,0.962793429,0,-0.806252002,-0.153800795,0.571229398
-2.953097094,0.979670762,0,-0.81560679,-0.155585316,0.557295948
-2.953097094,0.996548096,0,-0.824729263,-0.157325521,0.543203758
